"year","TAZ","count"
2020,20291300,1603
2019,20291400,6
2020,20291400,6
2019,20291500,41
2020,20291500,44
2019,20291600,2307
2020,20291600,2252
2019,20291700,1326
2020,20291700,1304
2019,20291800,2679
2020,20291800,2618
2019,20291900,10
2020,20291900,12
2019,20292100,45
2020,20292100,46
2019,20292200,37
2020,20292200,35
2019,20292300,102
2020,20292300,103
2019,20292400,20
2020,20292400,34
2019,20292500,4
2020,20292500,4
2019,20292600,2979
2020,20292600,2979
2019,20292700,3
2020,20292700,3
2019,20292800,39
2020,20292800,42
2019,20292900,21
2020,20292900,37
2019,20293100,537
2020,20293100,542
2019,20293200,46
2020,20293200,52
2019,20293300,33
2020,20293300,31
2019,20293400,45
2020,20293400,48
2019,20293500,28
2020,20293500,29
2019,20293600,21
2020,20293600,20
2019,20294100,548
2020,20294100,510
2019,20294200,850
2020,20294200,849
2019,20294300,1043
2020,20294300,1038
2019,20294400,1007
2020,20294400,961
2019,20294500,1788
2020,20294500,1769
2019,20294600,1141
2020,20294600,1145
2019,20295100,0
2020,20295100,0
2019,20296100,298
2020,20296100,289
2019,20296200,18
2020,20296200,21
2019,20296300,461
2020,20296300,456
2019,20296400,202
2020,20296400,238
2019,20296500,2220
2020,20296500,2165
2019,20296600,1097
2020,20296600,1077
2019,20296700,1123
2020,20296700,1135
2019,20296800,1519
2020,20296800,1557
2019,20296900,1094
2020,20296900,1089
2019,20297100,964
2020,20297100,956
2019,20297200,801
2020,20297200,813
2019,20297300,2232
2020,20297300,2172
2019,20297400,1126
2020,20297400,1095
2019,20297500,352
2020,20297500,383
2019,20297600,294
2020,20297600,293
2019,20298100,8
2020,20298100,10
2019,20298200,6
2020,20298200,6
2019,20298300,7
2020,20298300,7
2019,20298400,5
2020,20298400,5
2019,20298500,5
2020,20298500,5
2019,20298600,0
2020,20298600,0
2019,20298700,25
2020,20298700,21
2019,20299100,51
2020,20299100,60
2019,20299200,2
2020,20299200,2
2019,20299300,0
2020,20299300,0
2019,20299400,21
2020,20299400,21
2019,20299500,523
2020,20299500,549
2019,20299600,27
2020,20299600,33
2019,20299700,6
2020,20299700,9
2019,20299800,925
2020,20299800,922
2019,20299900,0
2020,20299900,0
2019,20300100,18
2020,20300100,20
2019,20300200,16
2020,20300200,16
2019,20300300,27
2020,20300300,27
2019,20300400,12
2020,20300400,12
2019,20300500,88
2020,20300500,92
2019,20300600,25
2020,20300600,34
2019,20300700,5
2020,20300700,4
2019,20300800,20
2020,20300800,17
2019,20301100,100
2020,20301100,101
2019,20301200,978
2020,20301200,1005
2019,20301300,518
2020,20301300,558
2019,20301400,3491
2020,20301400,3475
2019,20301500,1359
2020,20301500,1321
2019,20301600,470
2020,20301600,495
2019,20302100,1135
2020,20302100,1129
2019,20302200,463
2020,20302200,455
2019,20302300,214
2020,20302300,215
2019,20302400,7
2020,20302400,7
2019,20302500,303
2020,20302500,299
2019,20303100,2445
2020,20303100,2335
2019,20303200,2263
2020,20303200,2287
2019,20303300,1825
2020,20303300,1806
2019,20303400,1337
2020,20303400,1339
2019,20303500,1760
2020,20303500,1792
2019,20303600,1813
2020,20303600,1778
2019,20304100,2819
2020,20304100,2846
2019,20304200,1592
2020,20304200,1564
2019,20304300,1416
2020,20304300,1394
2019,20305100,0
2020,20305100,0
2019,20305200,2043
2020,20305200,2025
2019,20305300,0
2020,20305300,0
2019,20305400,1066
2020,20305400,1069
2019,20306100,4698
2020,20306100,4666
2019,20306200,4714
2020,20306200,4775
2019,20307100,2262
2020,20307100,2273
2019,20307200,3
2020,20307200,3
2019,20307300,2175
2020,20307300,2142
2019,20307400,34
2020,20307400,31
2019,20307500,399
2020,20307500,434
2019,20308100,766
2020,20308100,776
2019,20308200,963
2020,20308200,943
2019,20308300,814
2020,20308300,799
2019,20308400,21
2020,20308400,18
2019,20308500,1917
2020,20308500,1884
2019,20309100,1565
2020,20309100,1547
2019,20309200,1528
2020,20309200,1529
2019,20309300,854
2020,20309300,825
2019,20309400,1417
2020,20309400,1392
2019,20310100,303
2020,20310100,305
2019,20310200,0
2020,20310200,0
2019,20310300,0
2020,20310300,0
2019,20310400,0
2020,20310400,0
2019,20311100,4
2020,20311100,4
2019,20311200,6
2020,20311200,5
2019,20311300,0
2020,20311300,0
2019,20311400,49
2020,20311400,47
2019,20312100,3953
2020,20312100,3993
2019,20313100,2179
2020,20313100,2201
2019,20313200,2301
2020,20313200,2297
2019,20314100,5579
2020,20314100,5688
2019,20315100,3109
2020,20315100,3120
2019,20315200,461
2020,20315200,453
2019,20315300,95
2020,20315300,95
2019,20317100,1156
2020,20317100,1140
2019,20317200,3180
2020,20317200,3158
2019,20318100,2394
2020,20318100,2388
2019,20318200,1823
2020,20318200,1800
2019,20319100,2
2020,20319100,1
2019,20319200,5836
2020,20319200,5808
2019,20319300,1976
2020,20319300,1958
2019,20320100,34
2020,20320100,32
2019,20320200,908
2020,20320200,875
2019,20320300,2341
2020,20320300,2380
2019,20320400,2593
2020,20320400,2604
2019,20321100,0
2020,20321100,0
2019,20321200,2002
2020,20321200,1983
2019,20321300,2184
2020,20321300,2140
2019,20321400,1216
2020,20321400,1218
2019,20321500,379
2020,20321500,340
2019,20321600,644
2020,20321600,668
2019,20321700,431
2020,20321700,446
2019,20322100,1880
2020,20322100,1908
2019,20322200,5084
2020,20322200,5058
2019,20322300,2577
2020,20322300,2473
2019,20323100,3673
2020,20323100,3670
2019,20323200,1586
2020,20323200,1578
2019,20323300,2520
2020,20323300,2545
2019,20323400,2042
2020,20323400,2061
2019,20326100,1795
2020,20326100,1785
2019,20326200,1086
2020,20326200,1010
2019,20326300,1114
2020,20326300,1059
2019,20326400,848
