block_id,ln_total_hh,ln_total_jobs,ln_total_units,sum_acres,total_hh,total_jobs,total_units
060971534012007,2.9444389791664403,1.791759469228055,2.772588722239781,13.482799009602505,18.0,5.0,15.0
060971534012008,4.23410650459726,2.3978952727983707,4.442651256490317,121.8490385138107,68.0,10.0,84.0
060971534012010,2.197224577336219,0.0,1.6094379124341003,1.9377986883657947,8.0,0.0,4.0
060971534012013,2.6390573296152584,0.6931471805599453,2.3978952727983707,2.482171362488448,13.0,1.0,10.0
060971534012015,2.4849066497880004,1.3862943611198906,2.0794415416798357,3.2986068210909196,11.0,3.0,7.0
060971534012016,2.197224577336219,0.0,2.197224577336219,1.2454100215969912,8.0,0.0,8.0
060971534013000,1.6094379124341003,4.394449154672438,1.6094379124341003,1.8710802943516702,4.0,80.0,4.0
060971534013001,4.2484952420493585,1.9459101490553132,4.382026634673881,361.8185457366946,69.0,6.0,79.0
060971534013002,3.8066624897703196,4.343805421853684,4.23410650459726,259.57285401521176,44.0,76.0,68.0
060971534013003,2.4849066497880004,0.0,1.6094379124341003,2.367020356523329,11.0,0.0,4.0
060971534013004,3.0910424533583156,3.2580965380214817,2.772588722239781,119.56998759532081,21.0,25.0,15.0
060971534013005,2.772588722239781,1.9459101490553132,2.70805020110221,30.02945493543142,15.0,6.0,14.0
060971534013006,0.0,0.0,0.6931471805599453,19.665617293407728,0.0,0.0,1.0
060971534013007,3.8712010109078907,2.0794415416798357,4.1588830833596715,123.61880569132612,47.0,7.0,63.0
060971534013008,3.737669618283368,1.9459101490553132,3.9702919135521215,152.82070543581938,41.0,6.0,52.0
060971534013009,1.6094379124341003,0.0,1.6094379124341003,7.150976312499073,4.0,0.0,4.0
060971534013010,2.4849066497880004,0.0,2.0794415416798357,4.849685929337808,11.0,0.0,7.0
060971534014000,4.304065093204169,4.0943445622221,4.465908118654584,52.87111488907449,73.0,59.0,86.0
060971534014001,2.8903717578961645,0.0,2.772588722239781,4.710565722560207,17.0,0.0,15.0
060971534014003,2.9444389791664403,0.0,3.1354942159291497,5.0612079488788835,18.0,0.0,22.0
060971534014008,2.5649493574615367,0.0,2.4849066497880004,3.4851712191674533,12.0,0.0,11.0
060971534014009,2.3978952727983707,0.0,1.791759469228055,0.6728673588905967,10.0,0.0,5.0
060971534031000,1.791759469228055,0.0,1.791759469228055,50.43490508690689,5.0,0.0,5.0
060971534031001,3.332204510175204,1.0986122886681096,3.4657359027997265,86.96149607349896,27.0,2.0,31.0
060971534031002,0.0,5.170483995038151,2.3025850929940455,3.8316126577148704,0.0,175.0,9.0
060971534031003,3.044522437723423,3.8501476017100584,3.1354942159291497,52.85233489668533,20.0,46.0,22.0
060971534031004,3.58351893845611,2.0794415416798357,3.6109179126442243,52.90225013961442,35.0,7.0,36.0
060971534031005,2.4849066497880004,0.0,2.4849066497880004,16.313882862268525,11.0,0.0,11.0
060971534031006,4.6443908991413725,3.1780538303479453,4.875197323201151,158.53352969956953,103.0,23.0,130.0
060971534031007,3.1780538303479453,0.0,2.772588722239781,6.998759532081663,23.0,0.0,15.0
060971534031008,4.584967478670571,3.1780538303479453,4.709530201312334,208.76630276312991,97.0,23.0,110.0
060971534031009,0.0,0.0,0.0,2.48884320188986,0.0,0.0,0.0
060971534031010,2.3978952727983707,0.0,1.9459101490553132,23.92299214699792,10.0,0.0,6.0
060971534031011,2.3978952727983707,2.833213344056216,2.3978952727983707,15.54983369822529,10.0,16.0,10.0
060971534031012,1.6094379124341003,0.0,1.3862943611198906,4.1073820196399184,4.0,0.0,3.0
060971534031013,2.0794415416798357,0.0,1.9459101490553132,5.835141319442728,7.0,0.0,6.0
060971534031014,0.0,0.0,1.3862943611198906,7.084505023647964,0.0,0.0,3.0
060971534031015,2.3978952727983707,0.0,2.3025850929940455,14.558941994534033,10.0,0.0,9.0
060971534031016,3.4657359027997265,1.791759469228055,3.828641396489095,33.98980938307725,31.0,5.0,45.0
060971534031017,2.3025850929940455,1.0986122886681096,1.9459101490553132,35.008871075352246,9.0,2.0,6.0
060971534031019,3.912023005428146,2.70805020110221,4.143134726391533,166.06702480441626,49.0,14.0,62.0
060971534031020,2.772588722239781,2.70805020110221,2.772588722239781,11.221045452523684,15.0,14.0,15.0
060971534031021,3.1780538303479453,2.197224577336219,2.995732273553991,19.018201766307705,23.0,8.0,19.0
060971534031022,2.197224577336219,0.0,0.6931471805599453,8.493745768324082,8.0,0.0,1.0
060971534031023,1.0986122886681096,0.0,1.0986122886681096,2.4873605709117688,2.0,0.0,2.0
060971534032000,3.044522437723423,1.3862943611198906,3.2580965380214817,9.71222132715241,20.0,3.0,25.0
060971534032001,0.0,0.0,0.6931471805599453,1.0682356197150382,0.0,0.0,1.0
060971534032002,2.3025850929940455,0.0,2.0794415416798357,0.8050686211037693,9.0,0.0,7.0
060971534032011,4.025351690735149,3.988984046564274,4.143134726391533,332.1194704042146,55.0,53.0,62.0
060971534032014,2.3025850929940455,2.6390573296152584,2.3978952727983707,13.59770291040461,9.0,13.0,10.0
060971534032020,4.007333185232471,3.1780538303479453,4.143134726391533,216.79104293205103,54.0,23.0,62.0
060971534032022,4.219507705176107,3.5553480614894135,4.406719247264253,127.45165387485606,67.0,34.0,81.0
060971534032023,2.197224577336219,0.0,2.3978952727983707,4.600109714692379,8.0,0.0,10.0
060971534032024,0.0,2.3978952727983707,0.0,1.5332875365097878,0.0,10.0,0.0
060971534032025,2.6390573296152584,1.9459101490553132,2.5649493574615367,5.746924776246274,13.0,6.0,12.0
